Year,Product Name,Profit,Loss,Total Sale,Total Manufacturing,Remaining Products,Total No of Workers,Salary of Workers,Raw Material Cost,Production Cost
2022,Lehenga,0,28862.0,50301,50301,132,295,1475000,41263,19900
2023,Lehenga,97331,0.0,194662,97331,65,224,1120000,40165,22465
2020,Pants,78326,0.0,156652,78326,80,144,720000,24466,15565
2022,Dupatta,97670,0.0,195340,97670,42,255,1275000,31980,13641
2022,Lehenga,30782,0.0,61564,30782,82,283,1415000,17542,27438
2023,Shirt,62002,0.0,124004,62002,56,200,1000000,44187,22927
2020,Lehenga,44022,0.0,88044,44022,143,256,1280000,48463,16510
2020,Shirt,34618,0.0,69236,34618,123,128,640000,34510,14211
2022,Lehenga,37245,0.0,74490,37245,137,168,840000,46941,22746
2021,Shirt,30027,0.0,60054,30027,92,110,550000,11735,29979
2022,Lehenga,0,32500.0,90508,90508,91,229,1145000,47153,15420
2022,Lehenga,23526,0.0,47052,23526,72,295,1475000,11148,29303
2022,Kurta,64361,0.0,128722,64361,119,237,1185000,41343,23507
2022,Shirt,87158,0.0,174316,87158,99,202,1010000,23546,15535
2023,Shirt,58286,0.0,116572,58286,126,207,1035000,33079,12472
2020,Shirt,49533,0.0,99066,49533,107,299,1495000,18902,22129
2023,Saree,38316,0.0,76632,38316,95,218,1090000,35536,13908
2023,Lehenga,28699,0.0,57398,28699,144,254,1270000,23110,14612
2023,Shirt,99491,0.0,198982,99491,103,186,930000,21901,29446
2022,Pants,78465,0.0,156930,78465,143,211,1055000,10004,23630
2021,Saree,36673,0.0,73346,36673,136,262,1310000,14919,23571
2020,Kurta,43395,0.0,86790,43395,47,277,1385000,34693,16514
2021,Shirt,43707,0.0,87414,43707,108,173,865000,29175,24632
2023,Shirt,95937,0.0,191874,95937,72,101,505000,39332,21915
2023,Saree,76416,0.0,152832,76416,64,116,580000,40009,25414
2021,Lehenga,0,26688.0,79912,79912,110,194,970000,23512,12715
2021,Pants,0,26282.0,64903,64903,46,179,895000,26220,26262
2021,Kurta,33281,0.0,66562,33281,98,123,615000,19758,15819
2023,Shirt,52548,0.0,105096,52548,72,156,780000,33276,15300
2023,Lehenga,38371,0.0,76742,38371,80,170,850000,16573,29111
2020,Pants,97593,0.0,195186,97593,72,182,910000,15829,21896
2020,Pants,39644,0.0,79288,39644,68,243,1215000,13372,28812
2023,Kurta,43874,0.0,87748,43874,147,196,980000,31923,13379
2021,Dupatta,0,12519.0,77164,77164,78,135,675000,37905,23291
2021,Pants,88787,0.0,177574,88787,96,144,720000,37284,18881
2020,Dupatta,42289,0.0,84578,42289,144,109,545000,35761,26177
2023,Pants,25054,0.0,50108,25054,135,162,810000,37922,26223
2020,Kurta,86846,0.0,173692,86846,140,142,710000,47280,12170
2020,Saree,69769,0.0,139538,69769,147,150,750000,39541,22766
2022,Kurta,49312,0.0,98624,49312,132,206,1030000,13066,22284
2022,Kurta,0,16112.0,97195,97195,103,102,510000,35191,22847
2022,Saree,35846,0.0,71692,35846,125,293,1465000,13120,22755
2021,Saree,42483,0.0,84966,42483,105,262,1310000,27410,16325
2023,Lehenga,46558,0.0,93116,46558,48,168,840000,39605,15425
2023,Pants,63188,0.0,126376,63188,68,178,890000,13070,12800
2023,Lehenga,33012,0.0,66024,33012,136,135,675000,35337,12303
2023,Saree,53236,0.0,106472,53236,113,148,740000,37206,25863
2022,Dupatta,0,10992.0,85469,85469,67,100,500000,48437,26596
2021,Dupatta,68402,0.0,136804,68402,149,269,1345000,20197,14994
2021,Kurta,52076,0.0,104152,52076,92,268,1340000,47590,11320
2022,Shirt,0,15647.0,92435,92435,85,172,860000,35009,20459
2021,Kurta,0,39014.0,75189,75189,78,284,1420000,21108,20779
2022,Kurta,37335,0.0,74670,37335,115,215,1075000,41665,24534
2023,Shirt,63773,0.0,127546,63773,97,247,1235000,22154,11214
2022,Pants,72158,0.0,144316,72158,125,113,565000,39481,18320
2023,Saree,48570,0.0,97140,48570,93,221,1105000,41465,19248
2023,Dupatta,60658,0.0,121316,60658,45,192,960000,39107,20746
2020,Kurta,79184,0.0,158368,79184,84,279,1395000,41405,29670
2022,Shirt,92613,0.0,185226,92613,79,153,765000,19725,28165
2020,Lehenga,78194,0.0,156388,78194,62,148,740000,32567,26381
2022,Kurta,87507,0.0,175014,87507,137,129,645000,31992,16333
2022,Dupatta,53959,0.0,107918,53959,81,230,1150000,23560,28222
2020,Saree,0,17597.0,55644,55644,77,111,555000,37732,23895
2020,Kurta,65588,0.0,131176,65588,55,210,1050000,25015,28824
2022,Kurta,0,35633.0,55520,55520,113,258,1290000,32931,27490
2021,Pants,88582,0.0,177164,88582,86,264,1320000,35628,23425
2023,Shirt,81743,0.0,163486,81743,60,254,1270000,12084,25111
2020,Lehenga,64518,0.0,129036,64518,113,215,1075000,21795,29386
2023,Lehenga,32703,0.0,65406,32703,114,251,1255000,11681,29789
2021,Saree,69456,0.0,138912,69456,60,211,1055000,36883,19004
2021,Dupatta,75491,0.0,150982,75491,64,268,1340000,13722,13232
2021,Saree,28043,0.0,56086,28043,100,203,1015000,37902,29435
2020,Kurta,88340,0.0,176680,88340,137,291,1455000,12036,13877
2021,Kurta,30176,0.0,60352,30176,93,110,550000,13157,17614
2020,Lehenga,23936,0.0,47872,23936,134,190,950000,42307,17307
2021,Dupatta,51174,0.0,102348,51174,130,172,860000,21917,12882
2023,Shirt,45909,0.0,91818,45909,128,115,575000,37257,10359
2023,Dupatta,64158,0.0,128316,64158,99,113,565000,17555,28581
2022,Kurta,0,26854.0,83436,83436,81,274,1370000,33951,10098
2023,Shirt,74337,0.0,148674,74337,100,257,1285000,41382,17334
2022,Dupatta,79331,0.0,158662,79331,71,209,1045000,48220,29087
2023,Dupatta,82197,0.0,164394,82197,92,251,1255000,25350,21934
2020,Shirt,0,13566.0,52128,52128,83,240,1200000,23971,24256
